time,Acceleration_x,Acceleration_y,Acceleration_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,magnetic_x,magnetic_y,magnetic_z,
12:18:12.279 , -0.07, -0.02, -0.01, 0.06, -0.98, 0.73, 23.22, 266.04, 81.76, 
12:18:12.291 , -0.06, -0.02, 0.00, -0.73, -0.24, 0.67, 23.22, 266.04, 81.76, 
12:18:12.308 , -0.04, -0.01, 0.01, -0.98, -0.98, 0.85, 14.29, 285.95, 48.71, 
12:18:12.310 , -0.04, -0.05, 0.05, -0.98, -0.85, 0.79, 14.29, 285.95, 48.71, 
12:18:12.325 , -0.03, -0.04, 0.04, 0.31, -0.92, 0.31, 14.29, 260.61, 83.50, 
12:18:12.340 , -0.06, -0.06, -0.03, 1.16, -1.04, 0.67, 14.29, 260.61, 83.50, 
12:18:12.351 , -0.06, -0.02, -0.02, -1.28, 0.00, -0.18, 16.08, 273.28, 81.76, 
12:18:12.366 , -0.03, -0.04, 0.04, 0.18, -0.98, 0.00, 16.08, 273.28, 81.76, 
12:18:12.381 , -0.03, -0.04, 0.03, 0.61, -0.92, 0.31, 26.80, 305.86, 22.61, 
12:18:12.417 , -0.04, -0.05, 0.03, 0.18, -0.55, 0.92, 26.80, 305.86, 22.61, 
12:18:12.420 , -0.06, -0.02, -0.00, -1.16, -0.85, 0.73, 23.22, 258.80, 92.19, 
12:18:12.426 , -0.06, -0.04, -0.00, 0.12, -0.49, 0.49, 23.22, 258.80, 92.19, 
12:18:12.441 , -0.02, -0.03, 0.02, -0.12, -0.43, 0.61, 26.80, 295.00, 57.40, 
12:18:12.457 , -0.04, -0.04, 0.02, -0.37, -0.92, 0.73, 26.80, 295.00, 57.40, 
12:18:12.471 , -0.05, -0.04, 0.07, -1.16, -0.18, 0.49, 26.80, 276.90, 50.45, 
12:18:12.486 , -0.04, -0.02, 0.02, -0.06, -0.85, 0.55, 26.80, 276.90, 50.45, 
12:18:12.502 , -0.07, -0.03, -0.02, 0.24, -0.85, 0.43, 12.50, 262.42, 92.19, 
12:18:12.517 , -0.05, -0.01, 0.00, 0.12, -0.18, 0.49, 12.50, 262.42, 92.19, 
12:18:12.531 , -0.05, -0.03, 0.03, -0.61, -1.10, 0.12, 35.73, 304.05, 34.79, 
12:18:12.547 , -0.03, -0.03, 0.04, 0.12, -0.98, 0.37, 35.73, 304.05, 34.79, 
12:18:12.562 , -0.03, -0.05, 0.01, -0.31, -0.67, 0.67, 21.44, 256.99, 73.06, 
12:18:12.595 , -0.06, -0.04, -0.01, -0.85, -0.92, 0.37, 21.44, 256.99, 73.06, 
12:18:12.597 , -0.05, -0.03, 0.00, 0.43, -0.12, 0.49, 25.01, 267.85, 76.54, 
12:18:12.607 , -0.05, -0.02, 0.02, -0.12, -1.10, 0.12, 25.01, 267.85, 76.54, 
12:18:12.639 , -0.03, -0.04, 0.02, 0.00, -0.85, 0.49, 39.30, 311.29, 34.79, 
12:18:12.642 , -0.04, -0.04, 0.05, -0.79, -0.31, 0.85, 39.30, 311.29, 34.79, 
12:18:12.652 , -0.04, -0.05, 0.02, -1.04, -0.55, 0.85, 19.65, 262.42, 78.28, 
12:18:12.694 , -0.05, -0.03, 0.01, -0.24, -0.49, 0.67, 19.65, 262.42, 78.28, 
12:18:12.730 , -0.06, -0.01, -0.00, 1.16, -0.92, 0.49, 30.37, 287.76, 64.36, 
12:18:12.770 , -0.04, -0.05, 0.01, 0.00, -0.85, 0.18, 30.37, 287.76, 64.36, 
12:18:12.772 , -0.04, -0.03, 0.07, -0.79, -0.67, 0.49, 17.86, 300.43, 52.19, 
12:18:12.788 , -0.06, -0.06, 0.01, -0.24, -0.73, 0.55, 17.86, 300.43, 52.19, 
12:18:12.816 , -0.06, -0.01, -0.04, -0.12, -0.98, 0.55, 28.58, 264.23, 69.58, 
12:18:12.820 , -0.04, -0.04, 0.02, -0.37, -0.37, 0.37, 26.80, 276.90, 64.36, 
12:18:12.820 , -0.03, -0.03, 0.03, 0.00, -1.04, 0.49, 25.01, 300.43, 59.14, 
12:18:12.820 , -0.04, -0.04, 0.03, -0.18, -0.67, 0.85, 33.94, 273.28, 60.88, 
12:18:12.820 , -0.05, -0.02, 0.02, -0.61, -0.55, 0.49, 25.01, 271.47, 86.98, 
12:18:12.824 , -0.04, -0.04, -0.02, -0.67, -0.73, 0.61, 23.22, 269.66, 88.72, 
12:18:12.864 , -0.05, -0.02, 0.00, -0.43, -0.37, 0.24, 23.22, 269.66, 88.72, 
12:18:12.867 , -0.04, -0.03, 0.02, 0.73, -1.22, 0.06, 30.37, 276.90, 53.93, 
12:18:12.867 , -0.04, -0.01, 0.01, 0.61, -1.16, 0.49, 30.37, 276.90, 53.93, 
12:18:12.911 , -0.05, -0.06, 0.04, -0.37, -0.43, 0.61, 21.44, 278.71, 62.62, 
12:18:12.921 , -0.03, -0.03, 0.00, -0.98, -0.98, 0.79, 21.44, 278.71, 62.62, 
12:18:12.923 , -0.07, -0.04, -0.02, 0.12, -0.37, 0.67, 26.80, 266.04, 81.76, 
12:18:12.931 , -0.05, -0.02, 0.02, -0.37, -0.55, 0.24, 26.80, 266.04, 81.76, 
12:18:12.937 , -0.05, -0.03, 0.02, 0.67, -1.16, 0.37, 21.44, 307.67, 31.31, 
12:18:12.953 , -0.03, -0.05, 0.04, -0.61, -0.43, 0.49, 21.44, 307.67, 31.31, 
12:18:12.966 , -0.04, -0.04, 0.00, -0.31, -0.98, 0.61, 28.58, 256.99, 73.06, 
12:18:13.002 , -0.06, -0.04, -0.02, -0.55, -0.43, 0.55, 28.58, 256.99, 73.06, 
12:18:13.003 , -0.05, -0.02, 0.00, -0.79, 0.00, 0.43, 21.44, 267.85, 76.54, 
12:18:13.011 , -0.05, -0.03, 0.04, -0.24, -1.04, 0.24, 21.44, 267.85, 76.54, 
12:18:13.026 , -0.03, -0.03, 0.03, 0.61, -1.28, 0.18, 30.37, 313.10, 22.61, 
12:18:13.041 , -0.03, -0.06, 0.01, 0.92, -0.49, 0.85, 30.37, 313.10, 22.61, 
12:18:13.057 , -0.05, -0.02, -0.01, -1.71, -0.67, 0.49, 23.22, 251.56, 81.76, 
12:18:13.072 , -0.06, -0.05, 0.02, -0.06, -0.31, 0.31, 23.22, 251.56, 81.76, 
12:18:13.087 , -0.05, -0.01, 0.02, 0.49, -0.98, 0.12, 25.01, 285.95, 59.14, 
12:18:13.103 , -0.04, -0.05, 0.02, 0.12, -0.85, 0.55, 25.01, 285.95, 59.14, 
12:18:13.139 , -0.04, -0.03, 0.04, -1.04, -0.43, 0.49, 37.51, 276.90, 60.88, 
12:18:13.140 , -0.06, -0.03, -0.01, -0.24, -0.79, 0.61, 37.51, 276.90, 60.88, 
12:18:13.148 , -0.05, -0.03, -0.01, -0.49, -0.24, 0.43, 23.22, 262.42, 81.76, 
12:18:13.161 , -0.04, -0.04, 0.03, -0.37, -0.61, 0.67, 23.22, 262.42, 81.76, 
12:18:13.176 , -0.04, -0.06, 0.05, -0.55, -0.79, 0.37, 19.65, 313.10, 36.53, 
12:18:13.212 , -0.03, -0.04, 0.05, 0.31, -0.55, 0.61, 19.65, 313.10, 36.53, 
12:18:13.214 , -0.05, -0.03, 0.00, 0.49, -1.04, 0.61, 33.94, 247.94, 88.72, 
12:18:13.221 , -0.05, -0.04, -0.02, 0.12, -0.37, 0.67, 33.94, 247.94, 88.72, 
12:18:13.237 , -0.05, -0.01, 0.02, -0.92, -0.43, 0.24, 23.22, 262.42, 71.32, 
12:18:13.250 , -0.05, -0.02, 0.04, 0.55, -1.16, 0.31, 23.22, 262.42, 71.32, 
12:18:13.266 , -0.02, -0.04, 0.01, -0.24, -0.73, 0.49, 26.80, 309.48, 33.05, 
12:18:13.283 , -0.04, -0.04, 0.03, -0.49, -0.79, 0.61, 26.80, 309.48, 33.05, 
12:18:13.297 , -0.05, -0.05, 0.01, -0.37, -0.43, 0.67, 16.08, 266.04, 95.67, 
12:18:13.311 , -0.07, -0.03, 0.00, -0.24, -0.49, 0.18, 16.08, 266.04, 95.67, 
12:18:13.348 , -0.04, -0.03, 0.01, -0.12, -0.73, 0.37, 28.58, 307.67, 55.66, 
12:18:13.349 , -0.03, -0.04, 0.02, -0.49, -0.67, 0.55, 28.58, 307.67, 55.66, 
12:18:13.357 , -0.03, -0.05, 0.06, -0.73, -0.43, 0.49, 28.58, 267.85, 52.19, 
12:18:13.385 , -0.04, -0.04, 0.02, -0.06, -1.10, 0.55, 28.58, 267.85, 52.19, 
12:18:13.387 , -0.07, -0.03, -0.03, 1.22, -0.79, 0.61, 41.09, 266.04, 85.24, 
12:18:13.405 , -0.04, -0.02, 0.01, -0.37, -0.55, 0.18, 41.09, 266.04, 85.24, 
12:18:13.437 , -0.03, -0.03, 0.04, 0.12, -1.16, 0.31, 25.01, 311.29, 20.87, 
12:18:13.437 , -0.04, -0.04, 0.04, 0.18, -0.43, 0.55, 25.01, 311.29, 20.87, 
12:18:13.447 , -0.04, -0.03, -0.01, -0.43, -0.79, 0.61, 33.94, 262.42, 67.84, 
12:18:13.476 , -0.06, -0.03, -0.01, -0.92, -0.61, 0.31, 33.94, 262.42, 67.84, 
12:18:13.477 , -0.04, -0.03, 0.03, 0.06, -0.37, 0.37, 26.80, 269.66, 67.84, 
12:18:13.512 , -0.04, -0.04, 0.01, 0.12, -1.04, 0.55, 26.80, 269.66, 67.84, 
12:18:13.514 , -0.05, -0.04, 0.04, -0.92, -0.37, 0.79, 28.58, 296.81, 38.27, 
12:18:13.558 , -0.04, -0.05, 0.03, -1.28, -0.67, 0.55, 28.58, 296.81, 38.27, 
12:18:13.559 , -0.04, -0.05, 0.00, 0.24, -0.67, 0.55, 12.50, 262.42, 92.19, 
12:18:13.561 , -0.06, -0.04, 0.01, 0.61, -0.55, 0.49, 12.50, 262.42, 92.19, 
12:18:13.567 , -0.05, -0.03, 0.02, 0.67, -0.85, 0.67, 32.15, 282.33, 48.71, 
12:18:13.595 , -0.05, -0.02, 0.04, -0.85, -0.55, 0.31, 28.58, 282.33, 38.27, 
12:18:13.609 , -0.04, -0.03, 0.03, 0.06, -0.92, 0.37, 33.94, 273.28, 74.80, 
12:18:13.642 , -0.04, -0.04, -0.03, -0.31, -0.79, 0.49, 33.94, 273.28, 95.67, 
12:18:13.643 , -0.05, -0.05, 0.01, -0.06, -0.49, 0.49, 16.08, 258.80, 81.76, 
12:18:13.644 , -0.04, -0.03, 0.03, 0.37, -0.67, 0.73, 21.44, 260.61, 69.58, 
12:18:13.682 , -0.06, -0.02, 0.01, -0.55, -1.04, 0.31, 21.44, 260.61, 69.58, 
12:18:13.685 , -0.04, -0.03, 0.04, -0.55, -0.43, 0.43, 25.01, 304.05, 55.66, 
12:18:13.687 , -0.04, -0.03, 0.02, -0.79, -0.67, 0.67, 25.01, 304.05, 55.66, 
12:18:13.700 , -0.05, -0.05, -0.00, -0.85, -0.37, 0.49, 16.08, 266.04, 78.28, 
12:18:13.716 , -0.04, -0.03, 0.03, -0.24, -0.61, 0.43, 16.08, 266.04, 78.28, 
12:18:13.749 , -0.07, -0.02, -0.00, 1.46, -1.40, 0.49, 26.80, 291.38, 50.45, 
12:18:13.755 , -0.04, -0.04, 0.03, -0.24, -0.61, 0.24, 26.80, 291.38, 50.45, 
12:18:13.761 , -0.03, -0.03, 0.02, -0.67, -0.92, 0.37, 21.44, 271.47, 66.10, 
12:18:13.777 , -0.05, -0.05, -0.03, -0.18, -0.73, 0.61, 21.44, 271.47, 66.10, 
12:18:13.791 , -0.05, -0.03, 0.01, 0.12, -0.37, 0.55, 10.72, 256.99, 86.98, 
12:18:13.808 , -0.05, -0.03, 0.03, 0.12, -1.04, 0.18, 10.72, 256.99, 86.98, 
12:18:13.841 , -0.04, -0.04, 0.05, -0.18, -0.73, 0.55, 32.15, 304.05, 27.83, 
12:18:13.844 , -0.04, -0.04, 0.01, -0.31, -0.55, 0.67, 32.15, 304.05, 27.83, 
12:18:13.851 , -0.06, -0.02, -0.03, -0.98, -0.73, 0.43, 25.01, 264.23, 80.02, 
12:18:13.866 , -0.05, -0.03, 0.00, -0.85, 0.18, 0.43, 25.01, 264.23, 80.02, 
12:18:13.881 , -0.05, -0.01, 0.03, -0.18, -0.85, 0.43, 23.22, 280.52, 74.80, 
12:18:13.896 , -0.05, -0.03, 0.03, 0.98, -1.22, 0.12, 23.22, 280.52, 74.80, 
12:18:13.911 , -0.04, -0.01, 0.02, 0.55, -0.79, 0.49, 26.80, 291.38, 50.45, 
12:18:13.927 , -0.05, -0.06, -0.00, -1.16, -0.73, 0.37, 26.80, 291.38, 50.45, 
12:18:13.941 , -0.04, -0.04, 0.02, -0.67, -0.49, 0.49, 19.65, 262.42, 74.80, 
12:18:13.975 , -0.05, -0.05, 0.03, 0.79, -0.67, 0.73, 19.65, 262.42, 74.80, 
12:18:13.976 , -0.06, -0.02, 0.01, -0.31, -1.04, 0.31, 17.86, 311.29, 62.62, 
12:18:13.986 , -0.04, -0.02, 0.03, 0.00, -0.67, 0.55, 17.86, 311.29, 62.62, 
12:18:14.023 , -0.04, -0.04, 0.03, -0.98, -0.67, 0.37, 25.01, 275.09, 73.06, 
12:18:14.024 , -0.04, -0.04, -0.02, -0.18, -0.92, 0.73, 25.01, 275.09, 73.06, 
12:18:14.031 , -0.06, -0.04, 0.00, -0.37, 0.00, 0.55, 25.01, 271.47, 76.54, 
12:18:14.050 , -0.04, -0.01, 0.03, -0.73, -0.92, 0.49, 25.01, 271.47, 76.54, 
12:18:14.067 , -0.05, -0.04, 0.05, -0.31, -0.79, 0.37, 32.15, 307.67, 27.83, 
12:18:14.083 , -0.04, -0.02, 0.03, 0.43, -1.04, 0.31, 32.15, 307.67, 27.83, 
12:18:14.090 , -0.04, -0.08, -0.01, 0.55, -0.73, 0.73, 16.08, 247.94, 85.24, 
12:18:14.106 , -0.05, -0.01, 0.01, -1.04, -0.24, 0.49, 16.08, 247.94, 85.24, 
12:18:14.144 , -0.04, -0.05, 0.03, 0.37, -0.85, 0.43, 17.86, 275.09, 55.66, 
12:18:14.145 , -0.05, -0.02, 0.02, 0.06, -1.04, 0.24, 17.86, 275.09, 55.66, 
12:18:14.152 , -0.04, -0.05, 0.03, -0.24, -0.61, 0.55, 26.80, 291.38, 36.53, 
12:18:14.166 , -0.04, -0.04, 0.00, -0.79, -0.67, 0.61, 26.80, 291.38, 36.53, 
12:18:14.188 , -0.06, -0.04, -0.01, 0.43, -0.55, 0.43, 28.58, 278.71, 73.06, 
12:18:14.197 , -0.03, -0.03, 0.02, -0.55, -0.37, 0.37, 28.58, 278.71, 73.06, 
12:18:14.228 , -0.05, -0.04, 0.02, -0.18, -0.73, 0.67, 19.65, 320.34, 40.01, 
12:18:14.230 , -0.05, -0.04, 0.05, -0.98, -0.61, 0.43, 19.65, 320.34, 40.01, 
12:18:14.265 , -0.03, -0.04, 0.02, 0.37, -1.22, 0.24, 28.58, 278.71, 73.06, 
12:18:14.270 , -0.05, -0.04, -0.04, 0.43, -1.04, 0.55, 28.58, 278.71, 73.06, 
12:18:14.306 , -0.04, -0.05, 0.02, -0.49, 0.06, 0.61, 14.29, 260.61, 76.54, 
12:18:14.306 , -0.06, -0.03, 0.04, -0.49, -1.04, 0.18, 14.29, 260.61, 76.54, 
12:18:14.309 , -0.06, -0.03, 0.03, 0.61, -0.79, 0.24, 33.94, 313.10, 26.09, 
12:18:14.336 , -0.02, -0.04, 0.00, -0.55, -0.61, 0.00, 33.94, 313.10, 26.09, 
12:18:14.339 , -0.05, -0.04, -0.01, -0.49, -0.92, -0.49, 14.29, 256.99, 76.54, 
12:18:14.365 , -0.04, -0.05, 0.02, -0.12, 0.12, -0.31, 14.29, 256.99, 76.54, 
12:18:14.369 , -0.06, -0.01, 0.03, 0.12, -0.98, -0.18, 10.72, 282.33, 62.62, 
12:18:14.383 , -0.04, -0.03, 0.01, -0.06, -0.67, 0.24, 10.72, 282.33, 62.62, 
12:18:14.413 , -0.03, -0.03, 0.04, -0.85, -0.31, 0.49, 32.15, 278.71, 52.19, 
12:18:14.423 , -0.04, -0.05, 0.02, -0.92, -0.61, 0.49, 32.15, 278.71, 52.19, 
12:18:14.425 , -0.05, -0.04, 0.00, 0.00, -0.73, 0.24, 12.50, 258.80, 81.76, 
12:18:14.439 , -0.05, -0.02, -0.00, 1.34, -0.61, 0.67, 16.08, 280.52, 60.88, 
12:18:14.451 , -0.05, -0.02, 0.02, -0.31, -0.92, 0.06, 19.65, 302.24, 43.49, 
12:18:14.467 , -0.03, -0.03, 0.06, -0.31, -0.61, 0.49, 17.86, 293.19, 48.71, 
12:18:14.482 , -0.04, -0.04, -0.00, -0.79, -0.85, 0.43, 32.15, 267.85, 73.06, 
12:18:14.497 , -0.05, -0.04, -0.03, -0.06, -0.85, 0.61, 17.86, 267.85, 80.02, 
12:18:14.511 , -0.05, -0.03, 0.02, -0.37, 0.00, 0.37, 17.86, 267.85, 80.02, 
12:18:14.527 , -0.05, -0.03, 0.03, 0.43, -1.16, 0.31, 32.15, 278.71, 55.66, 
12:18:14.542 , -0.03, -0.04, 0.03, -0.61, -0.49, 0.61, 32.15, 278.71, 55.66, 
12:18:14.557 , -0.05, -0.03, 0.03, -0.92, -0.43, 0.61, 26.80, 291.38, 60.88, 
12:18:14.571 , -0.04, -0.05, 0.01, -0.92, -0.43, 0.61, 26.80, 291.38, 60.88, 
12:18:14.586 , -0.04, -0.01, 0.02, -0.18, -0.24, 0.55, 19.65, 266.04, 102.63, 
12:18:14.601 , -0.05, -0.03, 0.02, 0.73, -1.04, 0.55, 19.65, 266.04, 102.63, 
12:18:14.615 , -0.05, -0.00, 0.01, 0.24, -0.92, 0.49, 44.66, 313.10, 40.01, 
12:18:14.631 , -0.05, -0.04, 0.04, -0.85, -0.49, 0.18, 44.66, 313.10, 40.01, 
12:18:14.647 , -0.03, -0.04, 0.01, -0.49, -1.16, 0.37, 28.58, 271.47, 80.02, 
12:18:14.662 , -0.04, -0.06, -0.02, 0.37, -0.43, 0.61, 28.58, 271.47, 80.02, 
12:18:14.677 , -0.05, -0.03, 0.02, -0.49, -0.55, 0.31, 19.65, 269.66, 85.24, 
12:18:14.713 , -0.05, -0.03, 0.01, 0.37, -0.79, 0.18, 19.65, 269.66, 85.24, 
12:18:14.715 , -0.05, -0.03, 0.04, -0.85, -0.61, -0.12, 28.58, 307.67, 34.79, 
12:18:14.721 , -0.03, -0.04, 0.01, -0.18, -0.73, 0.12, 28.58, 307.67, 34.79, 
12:18:14.757 , -0.05, -0.05, -0.02, -0.55, -0.55, 0.24, 16.08, 258.80, 81.76, 
12:18:14.757 , -0.04, -0.04, 0.01, -0.85, 0.06, 0.18, 16.08, 258.80, 81.76, 
12:18:14.767 , -0.06, -0.03, 0.05, 0.00, -0.92, 0.18, 35.73, 285.95, 69.58, 
12:18:14.781 , -0.05, -0.01, 0.02, 1.22, -1.34, 0.18, 35.73, 285.95, 69.58, 
12:18:14.797 , -0.03, -0.06, 0.03, 0.55, -0.43, 0.37, 26.80, 298.62, 60.88, 
12:18:14.812 , -0.04, -0.04, -0.00, -1.46, -0.98, 0.49, 26.80, 298.62, 60.88, 
12:18:14.837 , -0.06, -0.06, -0.00, -0.12, -0.31, 0.37, 28.58, 264.23, 86.98, 
12:18:14.843 , -0.05, -0.01, 0.02, 0.49, -0.92, 0.37, 28.58, 264.23, 86.98, 
12:18:14.872 , -0.04, -0.04, 0.02, 0.06, -0.98, 0.37, 19.65, 305.86, 40.01, 
12:18:14.875 , -0.03, -0.04, 0.04, -0.55, -0.43, 0.67, 19.65, 305.86, 40.01, 
12:18:14.909 , -0.06, -0.04, -0.00, -0.37, -0.79, 0.73, 28.58, 275.09, 80.02, 
12:18:14.911 , -0.06, -0.02, -0.02, -0.73, -0.55, 0.31, 28.58, 275.09, 80.02, 
12:18:14.953 , -0.04, -0.03, 0.01, -0.43, -0.37, 0.61, 23.22, 262.42, 81.76, 
12:18:14.954 , -0.05, -0.02, 0.03, -0.37, -1.16, 0.24, 23.22, 262.42, 81.76, 
12:18:14.956 , -0.03, -0.04, 0.04, 0.61, -1.04, 0.31, 25.01, 304.05, 34.79, 
12:18:14.963 , -0.04, -0.02, -0.01, 0.06, -1.10, 0.49, 25.01, 304.05, 34.79, 
12:18:14.995 , -0.04, -0.07, -0.01, -0.49, -0.49, 0.73, 12.50, 255.18, 74.80, 
12:18:14.996 , -0.04, -0.03, 0.03, -0.43, -0.37, 0.43, 12.50, 255.18, 74.80, 
12:18:15.036 , -0.06, -0.03, 0.02, 1.10, -1.04, 0.43, 21.44, 296.81, 48.71, 
12:18:15.038 , -0.04, -0.02, 0.01, -0.79, -0.61, 0.24, 21.44, 296.81, 48.71, 
12:18:15.040 , -0.04, -0.04, 0.04, -0.24, -0.61, 0.49, 14.29, 267.85, 76.54, 
12:18:15.082 , -0.03, -0.05, 0.02, -0.73, -0.55, 0.55, 14.29, 267.85, 76.54, 
