time,Acceleration_x,Acceleration_y,Acceleration_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,magnetic_x,magnetic_y,magnetic_z,
12:12:12.456 , 0.10, 0.01, -0.01, -1.83, 3.11, 0.49, 48.23, 320.34, 29.57, 
12:12:12.468 , -0.14, 0.10, 0.12, -2.14, -5.74, 1.71, 46.45, 271.47, 100.89, 
12:12:12.503 , -0.12, 0.06, -0.20, 3.42, 2.50, -2.93, 46.45, 271.47, 100.89, 
12:12:12.505 , -0.03, -0.08, 0.04, 0.18, -0.61, 1.65, 33.94, 266.04, 99.15, 
12:12:12.514 , -0.25, -0.11, 0.19, -3.72, -3.66, 0.55, 33.94, 266.04, 99.15, 
12:12:12.529 , 0.04, 0.00, -0.08, 2.62, 3.72, -1.22, 42.87, 282.33, 83.50, 
12:12:12.543 , 0.01, -0.13, 0.19, 1.59, -3.66, 4.70, 42.87, 282.33, 83.50, 
12:12:12.559 , -0.11, -0.02, -0.03, -3.11, 0.24, -0.31, 51.81, 302.24, 57.40, 
12:12:12.574 , 0.07, 0.11, -0.06, -1.04, 3.05, -1.53, 51.81, 302.24, 57.40, 
12:12:12.598 , -0.17, 0.07, 0.10, 2.01, -5.37, 2.69, 44.66, 255.18, 85.24, 
12:12:12.602 , -0.22, 0.02, -0.19, 0.55, 1.89, -2.93, 44.66, 255.18, 85.24, 
12:12:12.618 , -0.01, -0.13, 0.14, -2.62, 0.37, 0.49, 37.51, 287.76, 95.67, 
12:12:12.633 , -0.10, -0.11, 0.20, 0.98, -4.76, 2.81, 37.51, 287.76, 95.67, 
12:12:12.648 , 0.03, -0.01, -0.21, 2.38, 4.03, -1.04, 37.51, 302.24, 71.32, 
12:12:12.663 , 0.11, -0.06, 0.16, -3.23, -1.77, 3.72, 37.51, 302.24, 71.32, 
12:12:12.679 , -0.23, 0.04, 0.06, -1.04, -1.89, -0.55, 37.51, 291.38, 71.32, 
12:12:12.693 , -0.13, 0.13, -0.10, 2.62, 4.27, -2.08, 37.51, 291.38, 71.32, 
12:12:12.709 , -0.10, -0.01, 0.08, -1.40, -5.55, 2.75, 50.02, 264.23, 93.93, 
12:12:12.742 , -0.14, -0.06, -0.11, -2.38, 0.43, -2.99, 50.02, 264.23, 93.93, 
12:12:12.744 , 0.03, -0.08, 0.11, 2.62, 1.53, 1.46, 42.87, 267.85, 97.41, 
12:12:12.754 , -0.06, -0.14, 0.12, 0.24, -4.82, 3.72, 42.87, 267.85, 97.41, 
12:12:12.787 , 0.08, 0.03, -0.22, -2.50, 4.03, -1.89, 58.95, 302.24, 46.97, 
12:12:12.789 , -0.04, 0.01, 0.18, -0.37, -1.22, 2.26, 58.95, 302.24, 46.97, 
12:12:12.824 , -0.35, 0.06, 0.07, 1.65, -3.60, -0.12, 50.02, 275.09, 83.50, 
12:12:12.827 , -0.04, 0.10, -0.21, -0.18, 4.33, -2.62, 50.02, 275.09, 83.50, 
12:12:12.828 , -0.06, -0.10, 0.19, -3.23, -4.82, 1.71, 35.73, 264.23, 93.93, 
12:12:12.891 , -0.10, -0.10, -0.05, 2.26, -0.98, -0.49, 35.73, 264.23, 93.93, 
12:12:12.891 , 0.15, -0.11, -0.05, 1.77, 2.99, 0.73, 57.16, 278.71, 90.46, 
12:12:12.984 , -0.04, -0.09, 0.18, -3.91, -4.70, 3.78, 35.73, 260.61, 104.37, 
12:12:12.991 , -0.22, 0.06, -0.03, 0.06, 2.62, -2.14, 55.38, 302.24, 71.32, 
12:12:12.991 , -0.13, 0.01, 0.08, 2.56, -0.31, 1.40, 33.94, 305.86, 60.88, 
12:12:12.991 , -0.20, 0.01, 0.02, -1.59, -4.46, 1.10, 53.59, 278.71, 90.46, 
12:12:12.991 , -0.00, 0.04, -0.17, -1.59, 3.66, -4.09, 44.66, 273.28, 85.24, 
12:12:12.991 , 0.04, -0.14, 0.18, 2.08, -3.97, 3.91, 44.66, 273.28, 85.24, 
12:12:12.991 , -0.07, -0.15, -0.05, 0.85, -1.40, 0.43, 53.59, 322.15, 52.19, 
12:12:12.991 , 0.08, -0.09, -0.01, -2.08, 4.27, -0.24, 53.59, 322.15, 52.19, 
12:12:13.052 , -0.15, -0.03, 0.29, -0.85, -5.13, 3.91, 67.88, 271.47, 104.37, 
12:12:13.054 , -0.25, 0.07, -0.15, 2.87, 0.85, -2.01, 67.88, 271.47, 104.37, 
12:12:13.057 , 0.01, 0.03, -0.04, -1.46, 1.28, 0.00, 41.09, 266.04, 102.63, 
12:12:13.057 , -0.14, -0.01, 0.09, -3.11, -5.74, 0.43, 41.09, 266.04, 102.63, 
12:12:13.057 , 0.07, -0.03, -0.22, 2.81, 3.66, -2.26, 37.51, 287.76, 71.32, 
