time,Acceleration_x,Acceleration_y,Acceleration_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,magnetic_x,magnetic_y,magnetic_z,
12:22:10.422 , 0.05, 0.11, -0.17, -1.95, 3.91, -2.26, 33.94, 298.62, 46.97, 
12:22:10.457 , 0.01, 0.03, 0.14, -2.93, -6.53, 1.28, 17.86, 267.85, 80.02, 
12:22:10.461 , -0.08, -0.08, -0.12, 1.89, 0.85, -1.89, 17.86, 267.85, 80.02, 
12:22:10.467 , 0.02, -0.09, 0.04, 1.83, 1.28, 1.28, 7.15, 278.71, 86.98, 
12:22:10.481 , -0.14, -0.16, 0.16, -3.91, -4.76, 2.75, 7.15, 278.71, 86.98, 
12:22:10.497 , -0.00, 0.00, -0.06, 0.00, 3.97, -1.95, 21.44, 314.91, 66.10, 
12:22:10.510 , -0.02, -0.03, 0.08, 2.69, -2.01, 3.23, 21.44, 314.91, 66.10, 
12:22:10.556 , -0.17, -0.04, 0.01, -3.05, -1.40, 0.18, 28.58, 304.05, 52.19, 
12:22:10.558 , 0.09, 0.15, -0.13, -1.83, 2.56, -3.23, 28.58, 304.05, 52.19, 
12:22:10.561 , 0.01, -0.11, 0.12, 2.62, -5.37, 3.30, 21.44, 253.37, 76.54, 
12:22:10.592 , -0.16, -0.10, -0.07, 0.49, 0.85, -0.92, 21.44, 253.37, 76.54, 
12:22:10.595 , 0.01, -0.08, 0.08, -2.62, 1.95, -0.06, 14.29, 264.23, 83.50, 
12:22:10.602 , -0.07, -0.11, 0.25, -0.12, -5.37, 3.72, 14.29, 264.23, 83.50, 
12:22:10.630 , -0.07, 0.01, -0.21, 2.69, 3.42, -1.46, 33.94, 302.24, 40.01, 
12:22:10.631 , 0.03, -0.00, 0.09, -2.32, 0.12, 1.83, 33.94, 302.24, 40.01, 
12:22:10.666 , -0.15, 0.03, 0.13, -2.62, -4.03, -0.18, 32.15, 282.33, 69.58, 
12:22:10.669 , 0.06, 0.05, -0.18, 3.05, 3.23, -2.62, 32.15, 282.33, 69.58, 
12:22:10.708 , 0.04, -0.10, 0.17, 0.49, -4.39, 3.54, 21.44, 253.37, 86.98, 
12:22:10.709 , -0.20, -0.17, 0.00, -3.30, 0.18, -0.55, 21.44, 253.37, 86.98, 
12:22:10.713 , 0.04, 0.00, 0.08, 0.06, 2.93, -0.18, 26.80, 291.38, 64.36, 
12:22:10.738 , -0.11, -0.07, 0.10, 2.69, -5.92, 4.46, 26.80, 291.38, 64.36, 
12:22:10.740 , -0.06, 0.10, -0.20, -2.93, 3.97, -2.14, 25.01, 307.67, 31.31, 
12:22:10.784 , 0.04, 0.03, 0.08, -1.89, -0.92, -0.18, 25.01, 307.67, 31.31, 
12:22:10.812 , -0.11, -0.06, 0.09, 2.56, -5.19, 1.53, 39.30, 271.47, 66.10, 
12:22:10.812 , 0.03, 0.00, -0.21, 1.10, 3.60, -2.01, 39.30, 271.47, 66.10, 
12:22:10.816 , -0.01, -0.16, 0.20, -3.11, -3.91, 2.93, 19.65, 251.56, 74.80, 
12:22:10.816 , -0.19, -0.16, 0.11, 1.22, -0.73, 0.61, 19.65, 251.56, 74.80, 
12:22:10.826 , 0.03, 0.03, -0.10, 2.75, 3.48, -0.24, 5.36, 284.14, 57.40, 
12:22:10.842 , -0.03, 0.00, 0.11, -3.05, -4.82, 3.78, 21.44, 267.85, 76.54, 
12:22:10.856 , -0.10, 0.08, -0.12, -2.50, 1.53, -3.54, 32.15, 296.81, 52.19, 
12:22:10.871 , 0.09, 0.00, 0.05, 3.05, -0.24, 0.55, 17.86, 307.67, 38.27, 
12:22:10.905 , -0.10, -0.15, 0.09, 0.37, -4.94, 2.81, 25.01, 264.23, 83.50, 
12:22:10.913 , -0.05, -0.06, -0.18, -2.99, 3.36, -2.75, 19.65, 276.90, 57.40, 
12:22:10.917 , 0.05, -0.11, 0.25, 1.40, -3.23, 3.54, 19.65, 276.90, 57.40, 
12:22:10.931 , -0.17, -0.13, 0.05, 1.83, -1.16, 1.83, 23.22, 305.86, 29.57, 
12:22:10.946 , 0.05, 0.11, -0.13, -2.14, 4.33, -1.53, 23.22, 305.86, 29.57, 
12:22:10.960 , -0.03, 0.07, 0.16, -2.14, -5.86, 2.01, 26.80, 284.14, 78.28, 
12:22:10.976 , -0.09, -0.03, -0.09, 2.26, 0.55, -1.89, 26.80, 284.14, 78.28, 
12:22:10.991 , 0.04, -0.05, -0.02, 1.40, 1.40, 0.61, 33.94, 262.42, 81.76, 
12:22:11.006 , -0.12, -0.16, 0.16, -3.78, -5.86, 2.50, 33.94, 262.42, 81.76, 
12:22:11.042 , -0.03, -0.02, -0.08, 1.22, 3.42, -1.71, 16.08, 302.24, 43.49, 
12:22:11.044 , 0.03, -0.11, 0.11, 2.81, -1.53, 3.78, 16.08, 302.24, 43.49, 
12:22:11.050 , -0.18, -0.02, 0.07, -3.42, -1.46, 1.28, 17.86, 289.57, 48.71, 
12:22:11.065 , 0.02, 0.17, -0.12, -1.46, 3.36, -3.05, 17.86, 289.57, 48.71, 
12:22:11.081 , 0.00, -0.04, 0.20, 2.62, -4.88, 3.23, 28.58, 278.71, 83.50, 
12:22:11.096 , -0.16, -0.06, -0.12, -0.43, 0.18, -0.85, 28.58, 278.71, 83.50, 
12:22:11.111 , 0.02, -0.06, 0.02, -2.01, 1.89, -0.85, 21.44, 253.37, 80.02, 
12:22:11.126 , -0.09, -0.09, 0.22, 0.67, -5.74, 4.09, 21.44, 253.37, 80.02, 
12:22:11.142 , -0.05, -0.02, -0.16, 2.20, 3.23, -1.34, 21.44, 307.67, 48.71, 
12:22:11.158 , 0.08, -0.03, 0.09, -2.32, 0.73, 2.44, 21.44, 307.67, 48.71, 
12:22:11.171 , -0.20, 0.03, 0.13, -2.32, -4.15, 0.43, 21.44, 282.33, 55.66, 
12:22:11.187 , 0.03, 0.14, -0.14, 3.17, 3.36, -2.75, 21.44, 282.33, 55.66, 
12:22:11.202 , 0.01, -0.07, 0.08, -0.31, -3.85, 3.30, 30.37, 269.66, 85.24, 
12:22:11.219 , -0.19, -0.13, 0.04, -3.42, -0.85, -1.10, 30.37, 269.66, 85.24, 
12:22:11.231 , 0.04, -0.02, -0.01, 2.32, 2.50, -0.61, 30.37, 269.66, 57.40, 
12:22:11.247 , -0.05, -0.09, 0.14, 1.89, -5.55, 4.39, 30.37, 269.66, 57.40, 
12:22:11.260 , -0.08, -0.05, -0.10, -3.42, 3.48, -1.46, 32.15, 311.29, 38.27, 
12:22:11.276 , -0.00, 0.04, 0.10, -0.98, 0.61, 0.43, 32.15, 311.29, 38.27, 
12:22:11.290 , -0.16, 0.04, 0.11, 2.08, -5.92, 1.40, 39.30, 289.57, 80.02, 
12:22:11.306 , -0.01, 0.00, -0.27, -0.06, 4.03, -2.50, 39.30, 289.57, 80.02, 
12:22:11.321 , 0.03, -0.12, 0.19, -3.17, -3.91, 2.20, 28.58, 253.37, 100.89, 
12:22:11.336 , -0.17, -0.14, 0.07, 1.89, -1.95, 0.49, 28.58, 253.37, 100.89, 
12:22:11.366 , 0.06, -0.04, -0.11, 2.38, 4.21, -0.37, 23.22, 273.28, 64.36, 
12:22:11.367 , -0.01, -0.06, 0.20, -3.05, -4.70, 4.03, 23.22, 273.28, 64.36, 
12:22:11.402 , -0.17, 0.07, -0.10, -2.01, 1.95, -2.20, 32.15, 293.19, 41.75, 
12:22:11.405 , 0.02, 0.08, 0.05, 3.17, 0.92, 0.06, 32.15, 293.19, 41.75, 
12:22:11.433 , -0.14, -0.06, 0.02, -0.37, -5.55, 2.62, 16.08, 273.28, 67.84, 
12:22:11.435 , -0.01, -0.03, -0.15, -2.81, 3.05, -3.36, 16.08, 273.28, 67.84, 
12:22:11.464 , 0.07, -0.16, 0.14, 2.62, -3.17, 3.23, 23.22, 255.18, 99.15, 
12:22:11.466 , -0.20, -0.13, 0.04, 1.28, -1.77, 2.01, 23.22, 255.18, 99.15, 
12:22:11.471 , 0.03, 0.06, -0.10, -2.32, 5.07, -1.53, 5.36, 302.24, 53.93, 
12:22:11.502 , -0.04, 0.02, 0.22, -1.65, -4.82, 3.36, 5.36, 302.24, 53.93, 
12:22:11.504 , -0.19, 0.01, -0.07, 1.40, 0.79, -2.08, 39.30, 282.33, 55.66, 
12:22:11.540 , 0.00, 0.06, -0.08, 0.43, 1.71, -0.24, 39.30, 282.33, 55.66, 
12:22:11.540 , -0.07, -0.08, 0.14, -4.03, -6.41, 1.65, 32.15, 260.61, 80.02, 
12:22:11.570 , 0.01, -0.11, -0.14, 1.65, 2.44, -2.08, 32.15, 260.61, 80.02, 
12:22:11.570 , 0.03, -0.13, 0.07, 3.11, -1.10, 3.48, 32.15, 278.71, 73.06, 
12:22:11.576 , -0.17, -0.10, 0.16, -4.88, -2.08, 1.28, 32.15, 278.71, 73.06, 
12:22:11.598 , 0.01, 0.09, -0.06, -0.55, 3.91, -2.14, 23.22, 323.96, 26.09, 
12:22:11.606 , -0.02, -0.01, 0.15, 2.69, -3.97, 3.36, 23.22, 323.96, 26.09, 
12:22:11.638 , -0.22, -0.02, -0.11, -1.65, 0.00, -0.98, 32.15, 282.33, 55.66, 
12:22:11.639 , 0.03, -0.01, 0.03, -1.59, 1.89, -1.65, 32.15, 282.33, 55.66, 
12:22:11.651 , -0.02, -0.13, 0.20, 1.53, -6.35, 4.15, 23.22, 258.80, 78.28, 
12:22:11.666 , -0.05, -0.06, -0.21, 1.77, 2.69, -0.98, 41.09, 276.90, 74.80, 
12:22:11.681 , 0.03, -0.12, 0.15, -2.38, 1.16, 2.08, 21.44, 267.85, 76.54, 
12:22:11.696 , -0.19, 0.00, 0.21, -2.20, -4.09, 1.53, 35.73, 253.37, 86.98, 
12:22:11.711 , -0.02, 0.12, -0.21, 3.05, 3.85, -2.93, 35.73, 304.05, 31.31, 
12:22:11.745 , 0.01, -0.05, 0.08, -1.04, -3.17, 2.62, 28.58, 249.75, 86.98, 
12:22:11.747 , -0.24, -0.08, 0.01, -3.42, -1.71, -1.65, 28.58, 249.75, 86.98, 
12:22:11.757 , 0.06, -0.04, -0.09, 3.23, 2.56, -0.98, 25.01, 260.61, 73.06, 
12:22:11.770 , 0.01, -0.14, 0.09, 1.04, -5.68, 4.88, 25.01, 260.61, 73.06, 
12:22:11.786 , -0.09, -0.14, -0.07, -3.48, 2.93, -0.92, 32.15, 314.91, 34.79, 
12:22:11.801 , -0.03, 0.05, 0.14, 0.43, 1.34, 1.10, 32.15, 314.91, 34.79, 
12:22:11.836 , -0.16, 0.02, 0.05, 1.59, -5.98, 1.59, 30.37, 291.38, 57.40, 
12:22:11.836 , 0.05, 0.01, -0.27, -0.67, 3.78, -2.69, 30.37, 291.38, 57.40, 
12:22:11.849 , 0.00, -0.05, 0.12, -1.83, -3.36, 1.59, 35.73, 267.85, 100.89, 
12:22:11.882 , -0.16, -0.14, 0.10, 2.26, -3.05, 0.37, 35.73, 267.85, 100.89, 
12:22:11.883 , 0.09, -0.05, -0.15, 1.77, 3.97, -0.37, 16.08, 266.04, 71.32, 
12:22:11.891 , 0.00, -0.15, 0.16, -3.42, -4.64, 4.21, 16.08, 266.04, 71.32, 
12:22:11.927 , -0.18, -0.03, 0.02, -0.98, 1.40, -0.98, 19.65, 309.48, 46.97, 
12:22:11.929 , 0.00, 0.06, -0.03, 3.05, 1.83, -0.24, 19.65, 309.48, 46.97, 
12:22:11.936 , -0.07, 0.01, 0.08, -2.26, -5.74, 2.62, 30.37, 262.42, 74.80, 
12:22:11.950 , -0.03, 0.06, -0.20, -2.81, 2.99, -4.15, 30.37, 262.42, 74.80, 
12:22:11.966 , 0.07, -0.14, 0.12, 2.87, -3.11, 2.26, 30.37, 262.42, 81.76, 
12:22:11.983 , -0.16, -0.13, 0.05, 1.40, -2.75, 2.01, 30.37, 262.42, 81.76, 
12:22:12.017 , 0.06, -0.07, -0.12, -2.56, 4.64, -1.65, 17.86, 278.71, 59.14, 
12:22:12.018 , -0.00, -0.07, 0.30, -0.37, -4.76, 4.52, 17.86, 278.71, 59.14, 
12:22:12.076 , -0.25, -0.00, -0.08, 2.44, 0.79, -1.28, 37.51, 295.00, 43.49, 
12:22:12.078 , 0.04, 0.09, -0.07, -0.61, 2.44, -0.61, 37.51, 295.00, 43.49, 
12:22:12.080 , -0.08, -0.05, 0.13, -3.11, -6.41, 1.65, 16.08, 273.28, 88.72, 
12:22:12.088 , 0.02, -0.02, -0.15, 1.95, 2.01, -2.26, 16.08, 273.28, 88.72, 
12:22:12.089 , 0.03, -0.12, 0.06, 2.44, -1.16, 2.62, 21.44, 256.99, 80.02, 
12:22:12.103 , -0.15, -0.16, 0.15, -4.15, -3.05, 1.77, 21.44, 256.99, 80.02, 
12:22:12.132 , 0.02, 0.05, -0.03, 0.37, 4.15, -1.34, 21.44, 304.05, 55.66, 
12:22:12.137 , -0.06, 0.01, 0.13, 2.87, -3.42, 3.60, 21.44, 304.05, 55.66, 
12:22:12.150 , -0.22, 0.00, -0.05, -2.75, -0.18, -1.16, 41.09, 287.76, 46.97, 
12:22:12.182 , 0.08, 0.05, -0.07, -2.20, 2.26, -2.38, 41.09, 287.76, 46.97, 
12:22:12.187 , 0.03, -0.08, 0.14, 2.38, -6.77, 3.48, 33.94, 247.94, 92.19, 
12:22:12.201 , -0.04, -0.09, -0.16, 1.04, 1.77, -1.40, 33.94, 247.94, 92.19, 
12:22:12.206 , 0.03, -0.17, 0.09, -2.38, 0.85, 1.40, 32.15, 271.47, 73.06, 
12:22:12.239 , -0.17, -0.09, 0.26, -0.49, -4.09, 2.99, 32.15, 271.47, 73.06, 
12:22:12.240 , -0.05, 0.06, -0.24, 2.50, 3.85, -2.32, 16.08, 305.86, 40.01, 
12:22:12.251 , 0.03, 0.00, 0.13, -1.83, -2.44, 2.44, 16.08, 305.86, 40.01, 
12:22:12.266 , -0.21, 0.03, 0.04, -3.17, -1.95, -1.59, 21.44, 282.33, 69.58, 
12:22:12.281 , 0.10, 0.01, -0.13, 3.30, 2.50, -1.89, 21.44, 282.33, 69.58, 
12:22:12.296 , 0.05, -0.15, 0.08, 0.98, -6.16, 3.97, 19.65, 269.66, 85.24, 
12:22:12.310 , -0.12, -0.13, -0.10, -3.30, 1.59, -1.71, 19.65, 269.66, 85.24, 
12:22:12.325 , 0.02, -0.04, 0.18, 1.10, 1.77, 1.71, 23.22, 284.14, 67.84, 
