time,Acceleration_x,Acceleration_y,Acceleration_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,magnetic_x,magnetic_y,magnetic_z,
11:45:31.865 , -0.06, -0.08, 0.01, -1.65, -4.09, 0.98, 117.90, 1042.45, -556.65, 
11:45:31.881 , -0.16, -0.09, 0.32, 0.37, -5.74, 1.10, 64.31, 1067.79, -528.82, 
11:45:31.918 , -0.32, -0.05, 0.09, 3.17, 5.49, 0.18, 64.31, 1067.79, -528.82, 
11:45:31.920 , -0.04, 0.02, -0.34, -1.89, 2.50, 0.49, 110.76, 1027.97, -549.69, 
11:45:31.925 , -0.09, -0.08, 0.12, -3.78, -6.41, -0.06, 110.76, 1027.97, -549.69, 
11:45:31.940 , -0.29, -0.00, 0.41, 5.25, -1.83, 0.55, 83.96, 1065.98, -547.95, 
11:45:31.955 , -0.39, 0.00, 0.08, 3.23, 2.69, 1.89, 83.96, 1065.98, -547.95, 
11:45:31.971 , -0.18, -0.13, -0.12, -12.27, 1.53, -0.98, 114.33, 1017.11, -549.69, 
11:45:31.996 , -0.12, 0.09, 0.06, 3.60, -1.83, -0.12, 114.33, 1017.11, -549.69, 
11:45:32.099 , -0.31, -0.05, 0.26, 21.73, -4.21, 3.54, 51.81, 1055.12, -547.95, 
11:45:32.100 , -0.31, 0.03, 0.36, -8.30, -0.37, 0.24, 51.81, 1055.12, -547.95, 
11:45:32.108 , -0.16, -0.04, -0.15, -9.64, 3.36, -1.59, 119.69, 1015.30, -534.03, 
11:45:32.108 , -0.16, 0.22, -0.04, 16.66, -0.73, 2.08, 119.69, 1015.30, -534.03, 
11:45:32.108 , -0.16, -0.04, 0.45, 2.38, -5.86, 0.85, 51.81, 1051.50, -551.43, 
11:45:32.108 , -0.07, -0.06, -0.02, -14.10, -2.69, -0.85, 51.81, 1051.50, -551.43, 
11:45:32.108 , -0.04, 0.06, -0.31, -13.12, 2.26, -0.98, 119.69, 1022.54, -551.43, 
11:45:32.110 , 0.11, 0.30, -0.06, -4.58, -2.32, -0.55, 119.69, 1022.54, -551.43, 
11:45:32.138 , 0.03, -0.13, 0.10, 1.77, -2.01, 0.06, 69.67, 1055.12, -554.91, 
11:45:32.140 , 0.06, 0.10, -0.09, 1.53, -2.93, 1.40, 69.67, 1055.12, -554.91, 
