time,Acceleration_x,Acceleration_y,Acceleration_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,magnetic_x,magnetic_y,magnetic_z,
11:57:57.372 , -0.07, 0.03, 0.02, -0.12, -0.61, 0.55, 69.67, 1033.40, -488.81, 
11:57:57.391 , -0.08, 0.04, 0.04, -1.04, -0.67, 0.43, 80.39, 1040.64, -565.35, 
11:57:57.398 , -0.07, 0.02, 0.01, -0.43, -0.73, 0.49, 80.39, 1040.64, -565.35, 
11:57:57.416 , -0.08, 0.04, 0.00, 0.79, -0.43, 0.37, 69.67, 1022.54, -502.72, 
11:57:57.426 , -0.07, 0.03, 0.02, 0.06, -0.55, 0.55, 69.67, 1022.54, -502.72, 
11:57:57.441 , -0.08, 0.04, 0.04, -1.04, -0.55, 0.37, 71.46, 1031.59, -574.04, 
11:57:57.459 , -0.07, 0.02, 0.01, -0.49, -0.55, 0.55, 71.46, 1031.59, -574.04, 
11:57:57.472 , -0.08, 0.03, 0.00, 0.98, -0.12, 0.43, 44.66, 1029.78, -481.85, 
11:57:57.487 , -0.08, 0.02, 0.02, 0.12, -0.55, 0.49, 44.66, 1029.78, -481.85, 
11:57:57.501 , -0.08, 0.03, 0.04, -1.10, -0.61, 0.43, 82.17, 1031.59, -560.13, 
11:57:57.517 , -0.06, 0.01, 0.01, -0.37, -0.37, 0.55, 82.17, 1031.59, -560.13, 
11:57:57.562 , -0.08, 0.04, 0.00, 0.98, 0.24, 0.49, 39.30, 1035.21, -500.98, 
11:57:57.563 , -0.07, 0.03, 0.02, 0.06, -0.12, 0.61, 39.30, 1035.21, -500.98, 
11:57:57.565 , -0.08, 0.04, 0.04, -0.67, -0.37, 0.31, 71.46, 1031.59, -556.65, 
11:57:57.577 , -0.07, 0.02, 0.01, -0.18, -0.37, 0.61, 71.46, 1031.59, -556.65, 
11:57:57.591 , -0.08, 0.04, 0.00, 0.98, -0.18, 0.43, 33.94, 1044.26, -492.29, 
11:57:57.609 , -0.07, 0.03, 0.02, -0.06, -0.55, 0.43, 33.94, 1044.26, -492.29, 
11:57:57.622 , -0.08, 0.04, 0.03, -0.85, -0.49, 0.31, 91.11, 1029.78, -568.83, 
11:57:57.657 , -0.07, 0.01, 0.01, -0.24, -0.24, 0.61, 98.25, 1018.92, -554.91, 
11:57:57.658 , -0.09, 0.04, 0.00, 0.92, 0.00, 0.49, 37.51, 1033.40, -513.16, 
11:57:57.667 , -0.07, 0.03, 0.02, 0.06, -0.37, 0.55, 23.22, 1055.12, -506.20, 
11:57:57.682 , -0.08, 0.03, 0.03, -0.67, -0.43, 0.43, 94.68, 1022.54, -565.35, 
11:57:57.697 , -0.06, 0.02, -0.00, 0.12, -0.37, 0.61, 35.73, 1046.07, -511.42, 
11:57:57.712 , -0.08, 0.04, 0.00, 1.16, 0.00, 0.55, 35.73, 1046.07, -511.42, 
11:57:57.727 , -0.07, 0.03, 0.02, 0.12, -0.24, 0.55, 94.68, 1015.30, -554.91, 
11:57:57.742 , -0.08, 0.04, 0.03, -0.49, -0.18, 0.37, 94.68, 1015.30, -554.91, 
11:57:57.756 , -0.07, 0.02, 0.00, 0.06, -0.31, 0.61, 33.94, 1065.98, -513.16, 
11:57:57.787 , -0.09, 0.04, 0.01, 0.49, -0.31, 0.43, 33.94, 1065.98, -513.16, 
11:57:57.789 , -0.07, 0.03, 0.03, -0.67, -0.61, 0.43, 87.53, 1015.30, -537.51, 
11:57:57.831 , -0.08, 0.03, 0.03, -0.98, -0.67, 0.31, 87.53, 1015.30, -537.51, 
11:57:57.833 , -0.07, 0.01, 0.00, 0.06, -0.55, 0.55, 23.22, 1065.98, -537.51, 
11:57:57.836 , -0.08, 0.04, 0.01, 1.04, -0.24, 0.37, 23.22, 1065.98, -537.51, 
11:57:57.865 , -0.07, 0.03, 0.03, -0.18, -0.49, 0.55, 108.97, 1004.44, -537.51, 
11:57:57.873 , -0.08, 0.03, 0.04, -0.61, -0.55, 0.37, 108.97, 1004.44, -537.51, 
11:57:57.877 , -0.07, 0.02, -0.00, 0.31, -0.49, 0.61, 30.37, 1069.60, -520.12, 
11:57:57.892 , -0.09, 0.04, 0.01, 1.04, -0.37, 0.43, 30.37, 1069.60, -520.12, 
11:57:57.924 , -0.07, 0.03, 0.02, -0.31, -0.79, 0.43, 96.46, 1002.63, -539.25, 
